customer_id,months_as_customer,age,policy_state,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
10022,217,41,IL,875.15,1101000,442479,FEMALE,Associate,machine-op-inspct,skydiving,10-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,1996
10023,370,55,IL,972.18,1101000,443920,MALE,High School,prof-specialty,paintball,11-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000
10024,413,55,IN,1268.79,1101000,453148,MALE,MD,priv-house-serv,chess,19-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,2011
10025,237,40,IN,883.31,1101000,434733,MALE,College,craft-repair,kayaking,24-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005
10026,8,35,OH,1266.92,1101000,613982,MALE,Masters,sales,polo,09-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006
10027,257,43,IN,1322.1,1101000,436984,MALE,High School,prof-specialty,golf,28-01-2015,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005
10028,202,34,IN,848.07,3000000,607730,MALE,JD,exec-managerial,chess,07-01-2015,Vehicle Theft,?,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,?,5720,1040,520,4160,Suburu,Forrestor,2003
10029,224,40,OH,1291.7,1101000,609837,FEMALE,JD,sales,kayaking,08-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009
10030,241,45,IL,1104.5,1101000,432211,FEMALE,PhD,machine-op-inspct,basketball,15-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011
10031,64,25,IL,954.16,1101000,473328,MALE,Masters,prof-specialty,video-games,18-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005
10032,166,37,IL,1337.28,8000000,610393,MALE,JD,craft-repair,reading,28-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,F150,2006
10033,155,35,IL,1088.34,1101000,614780,FEMALE,Associate,adm-clerical,yachting,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008
10034,114,30,IL,1558.29,1101000,472248,MALE,High School,farming-fishing,video-games,09-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,Impreza,2015
10035,149,37,IL,1415.68,1101000,603381,MALE,PhD,prof-specialty,yachting,12-02-2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999
10036,147,33,OH,1334.15,6000000,479224,MALE,High School,craft-repair,reading,24-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995
10037,62,28,IL,988.45,1101000,430141,FEMALE,Masters,protective-serv,camping,09-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004
10038,289,49,IL,1222.48,1101000,620757,FEMALE,JD,priv-house-serv,golf,18-01-2015,Parked Car,?,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001
10039,431,54,IN,1155.55,1101000,615901,FEMALE,MD,craft-repair,bungie-jumping,21-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,2007
10040,199,37,IN,1262.08,1101000,474615,MALE,JD,tech-support,video-games,08-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011
10041,79,26,IL,1451.62,1101000,456446,MALE,Associate,tech-support,kayaking,03-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,2010
10042,116,34,IN,1737.66,1101000,470577,MALE,Associate,transport-moving,chess,01-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080,16180,16180,64720,BMW,X5,2001
10043,37,23,IL,1475.93,1101000,441648,FEMALE,College,prof-specialty,hiking,16-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010
10044,106,30,OH,538.17,1101000,433782,FEMALE,PhD,transport-moving,reading,10-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005
10045,269,44,IL,1081.08,1101000,468104,MALE,JD,priv-house-serv,reading,14-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,Highlander,2014
10046,265,40,IL,1454.43,1101000,459407,FEMALE,MD,protective-serv,yachting,21-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,?,55120,6890,0,48230,Accura,MDX,2002
10047,163,33,IN,1240.47,1101000,472573,FEMALE,Associate,other-service,polo,18-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,2014
10048,355,47,OH,1273.7,4000000,433473,MALE,College,other-service,kayaking,10-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003
10049,175,34,IN,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,26-02-2015,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995
10050,192,35,IL,1245.89,1101000,435481,FEMALE,Masters,exec-managerial,movies,01-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,C300,2000
10051,430,59,OH,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,03-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998
10052,91,27,IL,1073.83,1101000,609930,FEMALE,JD,farming-fishing,polo,17-01-2015,Vehicle Theft,?,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,?,1,2,?,7260,1320,660,5280,BMW,M5,2008
10053,217,39,IN,1530.52,1101000,603993,MALE,College,armed-forces,basketball,22-02-2015,Vehicle Theft,?,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,?,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000
10054,223,40,IN,1201.41,1101000,437818,FEMALE,JD,priv-house-serv,movies,27-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,1999
10055,195,39,OH,1393.57,1101000,478423,MALE,PhD,machine-op-inspct,movies,27-02-2015,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009
10056,22,26,OH,1276.57,1101000,467784,MALE,PhD,craft-repair,skydiving,06-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995
10057,439,56,IN,1082.49,1101000,606714,FEMALE,PhD,prof-specialty,chess,28-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,CRV,2014
10058,94,32,IN,1414.74,1101000,464691,FEMALE,Masters,adm-clerical,hiking,22-02-2015,Parked Car,?,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014
10059,11,39,IL,1470.06,1101000,431683,MALE,PhD,other-service,yachting,07-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007
10060,151,36,OH,870.63,1101000,431725,FEMALE,MD,adm-clerical,kayaking,06-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000
10061,154,34,IN,795.23,1101000,609216,MALE,PhD,machine-op-inspct,base-jumping,10-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Maxima,2014
10062,245,44,IL,1168.2,1101000,452787,MALE,JD,handlers-cleaners,basketball,11-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997
10063,119,32,IL,993.51,1101000,468767,MALE,High School,armed-forces,bungie-jumping,12-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011
10064,215,42,OH,1848.81,1101000,435489,MALE,JD,transport-moving,video-games,06-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003
10065,295,42,OH,1641.73,5000000,450149,MALE,PhD,sales,chess,20-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006
10066,254,39,IN,1362.87,1101000,458364,FEMALE,MD,exec-managerial,chess,22-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995
10067,107,31,IN,1239.22,7000000,476458,FEMALE,High School,tech-support,paintball,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009
10068,478,64,OH,835.02,1101000,602433,FEMALE,Associate,adm-clerical,reading,02-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998
10069,128,30,OH,1061.33,1101000,478575,MALE,MD,machine-op-inspct,movies,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997
10070,338,49,IN,1279.08,1101000,449718,MALE,MD,other-service,kayaking,27-02-2015,Parked Car,?,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,?,4300,860,860,2580,Ford,F150,2004
10071,271,42,OH,1105.49,1101000,463181,FEMALE,Associate,prof-specialty,sleeping,20-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,2003
10072,222,41,OH,1055.53,1101000,441992,FEMALE,MD,armed-forces,cross-fit,08-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995
10073,199,41,OH,895.83,1101000,452597,FEMALE,Associate,sales,paintball,11-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999
10074,215,37,IN,1632.93,1101000,614417,FEMALE,College,transport-moving,golf,23-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,2002
10075,192,40,IL,1405.99,1101000,472895,FEMALE,Associate,sales,yachting,01-03-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,2005
10076,120,35,OH,1425.54,1101000,475847,FEMALE,High School,transport-moving,bungie-jumping,15-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010
10077,270,45,OH,1038.09,1101000,476978,FEMALE,College,handlers-cleaners,golf,14-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998
10078,319,47,IN,1307.11,1101000,600648,MALE,College,transport-moving,dancing,17-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,A3,2005
10079,194,39,OH,1489.24,6000000,608335,FEMALE,JD,other-service,kayaking,24-01-2015,Vehicle Theft,?,Minor Damage,None,SC,Springfield,7877 Sky Lane,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,95,2004
10080,227,38,OH,976.67,1101000,471600,FEMALE,PhD,handlers-cleaners,polo,21-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,?,1,2,?,72200,14440,7220,50540,BMW,M5,2013
10081,137,31,OH,1340.43,1101000,441175,MALE,High School,exec-managerial,paintball,19-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005
10082,244,40,OH,1267.81,5000000,603123,FEMALE,Masters,exec-managerial,video-games,03-01-2015,Vehicle Theft,?,Trivial Damage,None,NC,Northbrook,7098 Lincoln Hwy,10,1,?,2,1,?,6600,660,1320,4620,Accura,TL,2005
10083,78,29,IL,1234.2,6000000,457767,MALE,Masters,other-service,bungie-jumping,29-01-2015,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002
10084,200,35,IN,1318.06,1101000,618498,MALE,High School,exec-managerial,video-games,19-01-2015,Vehicle Theft,?,Trivial Damage,None,VA,Hillsdale,2333 Maple Lane,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002
10085,284,48,IN,769.95,1101000,605486,MALE,Masters,prof-specialty,movies,19-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,?,2,3,NO,60940,5540,11080,44320,Audi,A3,2013
10086,275,41,OH,1514.72,1101000,617970,MALE,High School,transport-moving,board-games,02-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,?,58300,5830,11660,40810,Suburu,Legacy,2007
10087,153,34,IL,873.64,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,30-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,F150,2007
10088,134,32,IL,1612.43,1101000,456762,FEMALE,MD,other-service,yachting,08-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,?,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015
10089,31,36,IL,1318.24,9000000,601748,FEMALE,College,prof-specialty,kayaking,30-01-2015,Parked Car,?,Trivial Damage,None,WV,Arlington,5540 Sky St,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,Neon,2002
10090,41,25,IN,1226.83,1101000,607763,FEMALE,College,exec-managerial,exercise,07-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,YES,2,0,?,45120,0,5640,39480,Accura,MDX,2011
10091,127,29,OH,1326.44,5000000,436973,FEMALE,High School,sales,board-games,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,?,66950,10300,10300,46350,Saab,93,1995
10092,61,23,IL,1136.83,4000000,471300,FEMALE,Associate,tech-support,exercise,02-02-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,?,98340,8940,17880,71520,Honda,Accord,2004
10093,207,42,IL,1322.78,1101000,453277,MALE,PhD,farming-fishing,yachting,28-02-2015,Parked Car,?,Trivial Damage,None,WV,Springfield,5260 Francis Drive,9,1,NO,0,1,NO,5900,590,590,4720,BMW,X5,2007
10094,219,43,IN,1483.25,1101000,465100,FEMALE,MD,exec-managerial,exercise,09-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,NO,1,1,?,70680,5890,11780,53010,Ford,Fusion,2009
10095,271,42,IL,1515.3,1101000,603248,FEMALE,High School,machine-op-inspct,hiking,19-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,2005
10096,80,25,IL,1075.18,5000000,601112,FEMALE,PhD,armed-forces,exercise,21-02-2015,Vehicle Theft,?,Minor Damage,None,OH,Northbrook,3289 Britain Drive,5,1,NO,2,0,YES,6930,1260,630,5040,Toyota,Highlander,2001
10097,325,47,IN,1690.27,1101000,438830,FEMALE,Associate,protective-serv,hiking,14-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,YES,0,3,NO,72930,6630,6630,59670,Dodge,RAM,2006
10098,29,25,IL,1352.83,1101000,464959,MALE,Masters,farming-fishing,skydiving,22-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,2013
10099,295,48,OH,1148.73,1101000,439787,FEMALE,College,machine-op-inspct,kayaking,22-02-2015,Parked Car,?,Trivial Damage,None,WV,Columbus,3998 Flute St,6,1,?,1,2,YES,5400,900,900,3600,Saab,95,1999
10100,239,42,IL,969.5,1101000,464839,MALE,College,exec-managerial,reading,26-01-2015,Vehicle Theft,?,Trivial Damage,None,NC,Northbrook,2430 MLK Ave,10,1,NO,0,0,?,5600,700,700,4200,Audi,A3,2007
10101,269,41,IN,1463.82,1101000,448984,FEMALE,College,protective-serv,yachting,24-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,YES,0,0,?,79300,15860,15860,47580,Saab,92x,2007
10102,80,27,IL,1474.17,1101000,440327,FEMALE,College,tech-support,exercise,19-02-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,95,2004
10103,279,41,IL,1497.35,1101000,460742,FEMALE,JD,prof-specialty,bungie-jumping,29-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,?,2,3,NO,28800,0,3600,25200,Ford,Fusion,2013
10104,165,33,OH,1427.14,1101000,446895,FEMALE,Associate,tech-support,kayaking,15-02-2015,Parked Car,?,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,NO,1,1,NO,2970,330,330,2310,Toyota,Highlander,2008
10105,350,54,OH,1495.1,1101000,609374,MALE,College,other-service,basketball,12-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,0,?,93480,15580,7790,70110,Chevrolet,Malibu,2014
